Location;Climat_Koppen
Uluru;BSh
Woomera;Bwh
Adelaide;Csa
Albany;Csb
MountGambier;Csb
Nuriootpa;BSk
PearceRAAF;Csb
Perth;Csb
PerthAirport;Csb
Portland;Csb
SalmonGums;Bsk
Walpole;Csb
Witchcliffe;Csb
MountGinini;Cfc
AliceSprings;BSh
Cobar;BSh
Mildura;BSk
BadgerysCreek;Cfa
Brisbane;Cfa
CoffsHarbour;Cfa
GoldCoast;Cfa
Katherine;Aw
Moree;Cfa
Newcastle;Cfa
NorahHead;Cfa
NorfolkIsland;Cfa
Penrith;Cfa
Sydney;Cfa
SydneyAirport;Cfa
Tuggeranong;Cfb
Williamtown;Cfa
Albury;Cfa
Ballarat;Cfb
Bendigo;Cfb
Canberra;Cfb
Dartmoor;Csb
Hobart;Cfb
Launceston;Cfb
Melbourne;Cfb
MelbourneAirport;Cfb
Nhil;Bsk
Richmond;Cfa
Sale;Cfb
WaggaWagga;Cfa
Watsonia;Cfb
Wollongong;Cfb
Cairns;Am
Darwin;Aw
Townsville;Aw
